ID,Branch Name,Tier,Address,Telephone ,Postal Code,FSA,NBHD Number,NBHD Name,Ward Number,Ward Region,Population,Comp_Learn_Ctr,Dig_Innov_Hubs,NIA,NIA_Branch,Programs_Cultural_2015,Attendance_Cultural_2015,Programs_ESL_2015,Attendance_ESL_2015,Program_Info_Current_Issues_2015,Attendance_Info_Current_Issues_2015,Programs_Literacy_2015,Attendance_Literacy_2015,Programs_Literary_2015,Attendance_Literary_2015,Programs_User_Ed_2015,Attendance_User_Ed_2015,Programs_Cultural_2014,Attendance_Cultural_2014,Programs_ESL_2014,Attendance_ESL_2014,Programs_Info_Current_Issues_2014,Attendance_Info_Current_Issues_2014,Programs_Literacy_2014,Attendance_Literacy_2014,Programs_Literary_2014,Attendance_Literary_2014,Programs_User_Ed_2014,Attendance_User_Ed_2014,Workstations,WS_Users_2015,WS_Users_2014,WS_Users_2013,visits_2015,visits_2014,visits_2013,circulation_2015,circulation_2014,circulation_2013,collection_size,Youth_Hub,census_population,NPS_population,citizens,non_citizens,recent_immigrants,visible_minority,non_official_languages,in_labour_force,employed,unemployed,not_in_labour_force,low_income
WP,Woodview Park,NL,16 Bradstock Rd,(416) 395-5960,M9M 1M8,M9M,22,Humbermede ,7,York West,9800,False,False,True,True,15,309,,,11,405,12,87,153,3310,2,110,9,327,,,10,242,12,123,81,1351,,,7,21425,19200,16737.5,41450,37725,30575,77281,79759,87524,20889,False,9800.0,9785.0,8750.0,1020.0,530.0,4980.0,5555.0,4900.0,4380.0,520.0,3090.0,1520.0
YO,Yorkville,NL,22 Yorkville Ave,(416) 393-7660,M4W 1L4,M4W,95,Annex ,27,Toronto Centre-Rosedale ,46077,False,False,False,False,141,2877,,,26,509,,,237,4996,15,70,34,944,,,8,192,,,157,2677,10,29,7,32312.5,32850,32475,157850,177012.5,191050,319571,324428,325299,63434,False,46077.0,44315.0,36470.0,7855.0,3670.0,15000.0,19770.0,29005.0,26670.0,2335.0,13040.0,11405.0
TOD,Todmorden Room,NL,1081ï¿½ Pape Ave ,(416) 396-3875,M4K 3W6,M4K,58,Old East York ,29,Toronto-Danforth ,20215,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,2,5437.5,6225,3300,28400,25937.5,17500,59787,56161,57785,7844,False,20215.0,20070.0,18070.0,2000.0,1430.0,5165.0,10210.0,11430.0,10375.0,1060.0,5885.0,4210.0
ND,Northern District,DL ,40 Orchard View Blvd,(416) 393-7610,M4R 1B9,M4R,100,Yonge-Eglinton,16,Eglinton-Lawrence ,30634,True,False,False,False,170,3600,,,91,1933,12,499,206,4771,3,57,96,2051,,,51,1872,12,466,182,4653,2,12,25,112234.5,106576.5,117776.5,306319,299729,328400,453583,464453,492887,125597,False,30634.0,30645.0,27125.0,3520.0,2120.0,6855.0,10735.0,19820.0,18455.0,1365.0,7175.0,4450.0
AB,Albion,DL,1515 Albion Rd,(416) 394-5170,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North,48697,True,False,True,True,301,8422,39,192,131,3852,12,802,395,9560,82,971,292,6982,41,244,65,2448,10,574,304,6908,84,701,28,142186.5,142159,139401.5,194587,401819,432525,353764,398248,466776,116372,False,48697.0,48540.0,38190.0,10345.0,7435.0,39340.0,31935.0,22435.0,19450.0,2980.0,15225.0,11195.0
PM,Palmerston,NL,560 Palmerston Ave,(416) 393-7680,M6G 2P7,M6G,95,Annex,20,Trinity-Spadina ,8040,False,False,False,False,80,2047,,,21,503,,,134,2847,9,233,40,1333,,,20,648,,,116,3015,1,7,6,18800,19987.5,20862.5,93587.5,109425,115625,215454,218377,222670,33551,False,8040.0,7615.0,6985.0,630.0,230.0,1550.0,3085.0,5030.0,4555.0,480.0,1705.0,1020.0
PA,Pape Danforth,DL ,701 Pape Ave,(416) 393-7727,M4K 3S6,M4K,69,Blake-Jones ,30,Toronto-Danforth ,26128,False,False,False,False,71,1740,87,810,88,1640,10,141,238,5414,2,7,63,2040,86,653,39,560,10,354,248,5925,13,77,14,75403.5,71899,72263,229683,239356.5,257275,425823,424425,437861,57394,False,26128.0,25890.0,24195.0,1695.0,805.0,7170.0,9785.0,14670.0,13450.0,1215.0,7340.0,4565.0
DT,Davenport,NL,1246 Shaw St,(416) 393-7732,M6G 3P1,M6G,94,Wychwood ,21,St. Paul's ,9792,False,False,False,False,12,501,,,28,661,12,247,64,1518,3,6,10,251,,,5,112,12,253,65,1344,,,3,6687.5,7150,7000,39975,42150,39262.5,126743,120646,120435,11718,False,9792.0,9115.0,8300.0,820.0,405.0,2595.0,4490.0,5025.0,4715.0,305.0,2785.0,1640.0
NE,Northern Elms,NL,"123 B Rexdale Blvd, Unit 5",(416) 394-5230,M9W 1P1,M9W,1,West Humber-Clairville,2,Etobicoke North ,16453,False,False,False,True,67,391,7,9,5,136,,,102,1663,2,76,84,719,,,7,78,,,38,294,,,5,11325,12937.5,13700,35162.5,34300,41187.5,83841,89817,95443,25978,False,16453.0,16440.0,14450.0,2000.0,1265.0,8650.0,8895.0,8100.0,7135.0,965.0,5140.0,3070.0
EG,Evelyn Gregory,NL,120 Trowell Ave,(416) 394-1006,M6M 1L7,M6M,110,Keelesdale-Eglinton West,12,York South-Weston ,18116,False,False,True,True,62,1192,,,22,318,,,124,2767,3,40,64,1716,,,8,103,3,25,195,4202,1,6,11,34325,33350,29787.5,52900,56200,60925,81207,83330,82785,37672,False,18116.0,18105.0,14510.0,3595.0,1610.0,7850.0,11680.0,9505.0,8510.0,1010.0,5505.0,3830.0
RI,Richview,DL ,1806 Islington Ave,(416) 394-5120,M9P 3N3,M9P,7,Willowridge-Martingrove-Richview,4,Etobicoke Centre ,79789,True,False,False,True,218,6180,28,232,132,4659,9,346,212,9331,52,326,87,2300,24,268,138,4827,10,282,121,2817,72,828,49,113426,120461,118823,422923,553672.5,409390,623078,599169,669746,156662,False,79789.0,78820.0,70900.0,7925.0,4775.0,26950.0,43140.0,38810.0,35600.0,3205.0,26700.0,12475.0
HIL,Hillcrest,NL,5801 Leslie St,(416) 395-5830,M2H 1J8,M2H,48,Hillcrest Village ,24,Willowdale ,30664,False,False,False,False,63,546,,,73,1292,,,34,767,5,82,9,288,33,322,23,525,,,43,998,,,12,31550,31087.5,55275,108500,128975,222062.5,340458,363547,468119,46881,False,30664.0,30075.0,25870.0,4210.0,2245.0,21020.0,21760.0,14650.0,13220.0,1435.0,11690.0,5355.0
AN,Annette Street,NL,145 Annette St.,(416) 393-7692,M6P 1P3,M6P,90,Junction Area ,13,Parkdale-High Park,10147,False,False,False,False,114,2295,,,37,1234,12,330,278,6574,3,77,89,1711,1,21,52,927,9,194,202,5081,,,11,34037.5,28629,30395.5,117375,95262.5,79654.5,221150,192175,212282,31063,False,10147.0,7430.0,6975.0,460.0,245.0,1330.0,2290.0,4840.0,4465.0,375.0,1480.0,845.0
DM,Don Mills,DL ,888 Lawrence Ave E,(416) 395-5710,M3C 1P6,M3C,42,Banbury-Don Mills ,25,Don Valley West ,37844,False,False,False,False,126,2525,,,131,4178,,,172,4885,33,235,68,2108,3,94,147,3917,,,126,3961,8,87,24,86525,85624,81803.5,267097,280150.5,239837.5,627900,600651,630135,115216,False,37844.0,37450.0,32700.0,4760.0,2945.0,16700.0,19380.0,19500.0,18190.0,1325.0,12355.0,5045.0
AP,Amesbury Park,NL,1565 Lawrence Ave W,(416) 395-5420,M6L 1A8,M6L,30,Brookhaven-Amesbury ,12,York South-Weston,23120,False,False,False,True,61,1595,,,12,394,,,96,2497,,,32,937,,,31,636,,,106,2756,,,6,16300,18550,17787.5,51312.5,56312.5,53300,120983,141236,151191,32992,False,23120.0,22795.0,19225.0,3570.0,1870.0,15045.0,13380.0,11050.0,9880.0,1170.0,6955.0,5495.0
HS,Humber Summit,NL,2990 Islington Ave,(416) 395-5840,M9L 2K6,M9L,21,Humber Summit,7,York West ,22882,False,False,True,True,60,764,,,52,1126,8,55,124,1368,41,486,27,892,,,42,2682,8,71,191,3714,6,10,6,27700,31212.5,30800,46887.5,49412.5,48262.5,73816,78459,89453,22724,False,22882.0,22850.0,18740.0,4115.0,2550.0,15925.0,16430.0,10820.0,9460.0,1345.0,7590.0,4425.0
BY,Bayview,NL,2901 Bayview Ave ,(416) 395-5460,M2K 1E6,M2K,52,Bayview Village ,24,Willowdale,47532,False,False,False,False,1,60,,,2,6,,,49,1089,2,27,13,607,,,5,62,,,6,51,,,6,19505,23452,25243,171554.5,146696.5,205212.5,374989,452867,499535,50556,False,47532.0,47265.0,38670.0,8610.0,5415.0,26615.0,29925.0,26715.0,24525.0,2190.0,14695.0,8000.0
HC,Highland Creek,NL,3550 Ellesmere Rd,(416) 396-8876,M1C 3Z2,M1C,134,Highland Creek ,44,Scarborough East ,24372,False,False,False,False,46,1092,,,6,196,12,301,104,2851,4,18,23,1045,,,33,1076,11,340,137,4826,,,9,21837.5,24712.5,22512.5,69712.5,81537.5,60375,179144,192057,204248,40546,False,24372.0,23990.0,22305.0,1675.0,1015.0,17550.0,10265.0,13410.0,12130.0,1285.0,7025.0,2650.0
RX,Rexdale,NL,2243 Kipling Ave,(416) 394-5200,M9W 4L5,M9W,4,Rexdale-Kipling,2,Etobicoke North ,19291,False,False,False,True,73,933,,,33,385,,,147,3054,,,123,1392,,,37,466,,,131,2291,,,6,20062.5,18875,18937.5,53825,51612.5,46325,82560,80646,92390,30180,False,19291.0,18360.0,15810.0,2550.0,1315.0,12335.0,11195.0,9900.0,8975.0,925.0,5445.0,2410.0
RN,Runnymede,NL,2178 Bloor St W,(416) 393-7697,M6S 1M8,M6S,88,High Park North,13,Parkdale-High Park,11299,False,False,False,False,38,1499,,,43,1145,,,198,6019,17,54,76,1943,,,25,701,,,156,5168,24,85,13,65662.5,68212.5,67212.5,473487.5,364787.5,283237.5,462269,448648,457819,58286,False,11299.0,11095.0,10625.0,470.0,160.0,1745.0,3505.0,6475.0,6075.0,400.0,2720.0,880.0
HW,Humberwood,NL,850 Humberwood Blvd,(416) 394-5210,M9W 7A6,M9W,1,West Humber-Clairville,2,Etobicoke North ,12623,False,False,False,False,161,3696,36,212,91,1742,12,118,226,5307,,,245,7078,49,308,145,2946,10,132,255,5279,1,8,7,21575,34175,36037.5,109812.5,161325,212737.5,82685,90607,101325,39945,False,12623.0,12380.0,10520.0,1850.0,980.0,10550.0,7325.0,6565.0,5820.0,750.0,3765.0,2160.0
PV,Pleasant View,NL,575 Van Horne Ave,(416) 395-5940,M2J 4S8,M2J,46,Pleasant View,33,Don Valley East ,12564,False,False,False,False,21,618,146,2378,4,69,,,59,1541,1,26,9,268,63,2487,24,547,8,169,51,1232,2,32,8,22487.5,22737.5,41325,74637.5,100387.5,186250,211842,238752,364392,31030,False,12564.0,12555.0,10600.0,1950.0,1180.0,7650.0,9005.0,6420.0,5825.0,595.0,4375.0,1835.0
BF,Barbara Frum,DL ,20 Covington Rd,(416) 395-5440,M6A 3C1,M6A,32,Englemount-Lawrence ,15,Eglinton-Lawrence,62399,True,False,False,False,179,3946,,,148,2888,,,339,7184,49,481,145,4791,14,110,131,1896,4,81,301,6435,5,5,29,131127,120550.5,112745,264647,356076.5,364175,583455,585103,613282,128094,False,62399.0,60485.0,51050.0,9440.0,5780.0,21315.0,33425.0,30490.0,28035.0,2440.0,17930.0,10510.0
MS,Morningside,NL,4279 Lawrence Ave E,(416) 396-8881,M1E 2S8,M1E,136,West Hill ,44,Scarborough East ,26547,False,False,True,True,39,992,,,69,1500,12,238,97,1400,1,33,35,842,,,85,1553,12,353,100,1461,,,10,42362.5,41362.5,39950,91162.5,124575,135475,183685,189655,216544,42946,False,26547.0,26255.0,23300.0,2955.0,2080.0,15835.0,10475.0,12435.0,10755.0,1675.0,9005.0,6430.0
KE,Kennedy Eglinton,NL,2380 Eglinton Ave E,(416) 396-8924,M1K 2P3,M1K,125,Ionview ,37,Scarborough Centre ,24421,False,False,True,True,73,1279,,,61,1028,,,116,2785,23,584,69,944,,,90,2469,,,104,2543,1,40,14,37925,39187.5,38200,110675,106837.5,117337.5,188001,194291,214023,32752,False,24421.0,24385.0,20740.0,3645.0,2590.0,17075.0,14595.0,11800.0,10260.0,1545.0,8285.0,5935.0
FO,Fort York,NL,190 Fort York Blvd,(416) 393-6240,M5V 0E7 ,M5V,77,Waterfront Communities-The Island,20,Trinity and Spadina,26514,False,True,False,False,46,1282,,,46,571,,,205,6843,179,1970,41,1434,,,30,714,,,91,3426,98,1366,12,49512.5,24150,,180200,96612.5,,219431,132189,,35376,False,26514.0,26420.0,22580.0,3850.0,2030.0,10495.0,11595.0,21265.0,20120.0,1155.0,3880.0,3955.0
SL,St. Lawrence,NL,171 Front St E,(416) 393-7655,M5A 4H3,M5A,77,Waterfront Communities-The Island,28,Toronto Centre-Rosedale ,17484,False,False,False,False,26,696,,,6,203,,,141,2561,,,13,300,,,17,397,,,175,3325,,,7,22051,25687.5,26075,103806,110737.5,114900,192194,219081,219240,28597,False,17484.0,17440.0,15490.0,1955.0,1065.0,7415.0,7525.0,12065.0,11460.0,615.0,3960.0,3195.0
CC,Cliffcrest,NL,3017 Kingston Rd,(416) 396-8916,M1M 1P1,M1M,123,Cliffcrest ,36,Scarborough Southwest,15703,False,False,False,True,87,1620,,,6,140,,,136,2305,1,11,86,1675,,,6,74,,,129,2174,1,10,8,18637.5,18737.5,17750,79300,80175,80800,173302,174901,193420,29030,False,15703.0,15500.0,14355.0,1150.0,635.0,5540.0,5375.0,7910.0,7190.0,720.0,4975.0,2675.0
BRW,Bridlewood,NL,2900 Warden Ave ,(416) 396-8960,M1W 2S8,M1W,117,L'Amoreaux,39,Scarborough-Agincourt,39671,False,False,False,False,89,3079,46,714,180,2454,22,1252,136,3681,31,263,63,2303,55,533,169,2173,,,162,4703,7,51,7,41462.5,42087.5,43375,380100,420962.5,399650,449199,493792,522544,62310,False,39671.0,39310.0,32610.0,6700.0,3825.0,29975.0,28695.0,19310.0,17260.0,2030.0,14180.0,8165.0
FP,Flemingdon Park,NL,29 St. Dennis Dr ,(416) 395-5820,M3C 3J3,M3C,44,Flemingdon Park ,26,Don Valley West ,22168,False,False,True,True,102,2382,66,561,59,722,12,499,112,2103,4,70,130,2116,32,409,56,690,12,521,89,2355,1,3,15,50387.5,51996.5,59210.5,191337.5,146247,150362.5,148828,153730,173555,37208,False,22168.0,22150.0,17540.0,4625.0,3050.0,17110.0,17025.0,10370.0,8790.0,1590.0,7330.0,6750.0
SJ,St. James Town,NL,495 Sherbourne St,(416) 393-7744,M4X 1K7,M4X,74,North St. James Town ,28,Toronto Centre-Rosedale ,27541,False,False,False,False,139,1278,49,346,2,18,12,596,99,2012,2,50,142,893,78,457,8,273,12,801,189,3705,,,18,57375,65037.5,62200,177062.5,182787.5,192962.5,258692,281753,297168,52878,False,27541.0,26625.0,20715.0,5910.0,3990.0,14010.0,14070.0,16145.0,14570.0,1580.0,7490.0,8620.0
TH,Thorncliffe,NL,48 Thorncliffe Park Dr,(416) 396-3865,M4H 1J7,M4H,55,Thorncliffe Park ,26,Don Valley West ,19225,False,False,True,True,60,2894,61,598,46,788,12,588,112,1991,3,47,84,1757,98,688,37,380,12,629,118,1841,1,6,20,79150,89775,88100,189550,194912.5,203337.5,192845,204845,231256,46444,False,19225.0,19105.0,13790.0,5305.0,4165.0,14780.0,15015.0,7985.0,6735.0,1255.0,6055.0,7470.0
BR,Brentwood,DL ,36 Brentwood Rd N,(416) 394-5240,M8X 2B5,M8X,15,Kingsway South ,5,Etobicoke- Lakeshore,33138,True,False,False,False,231,3363,167,1737,160,2290,,,309,9010,119,916,117,2867,39,290,121,1898,1,30,199,5678,85,639,35,84937,83068.5,84402.5,232857,234008,247650,411129,405961,420090,80307,False,33138.0,32810.0,29555.0,3265.0,2195.0,7945.0,14495.0,18075.0,16880.0,1180.0,9800.0,3690.0
PE,Perth Dupont,NL,1589 Dupont St,(416) 393-7677,M6P 3S5,M6P,93,Dovercourt-Wallace Emerson-Junction,18,Davenport,22092,False,False,False,False,122,2421,,,36,612,10,155,106,3033,,,100,1970,8,240,51,1002,12,134,94,2850,2,2,3,8112.5,10062.5,9637.5,34937.5,43837.5,40100,91381,91155,87564,18976,False,22092.0,22000.0,18925.0,3070.0,1755.0,6610.0,11710.0,13855.0,12690.0,1170.0,5420.0,4240.0
MCG,McGregor Park,NL,2219 Lawrence Ave E,(416) 396-8935,M1P 2P5,M1P,126,Dorset Park  ,37,Scarborough Centre ,19570,False,False,False,False,39,691,,,74,1661,,,265,6241,11,213,27,509,,,54,898,,,301,7743,21,64,14,42142,44396,44722.5,125176.5,123663,128400,217638,234554,256023,39951,False,19570.0,19345.0,17335.0,2015.0,1395.0,11410.0,11395.0,9825.0,8825.0,1005.0,6220.0,3210.0
HP,High Park,NL,228 Roncesvalles Ave,(416) 393-7671,M6R 2L7,M6R,87,High Park-Swansea ,14,Parkdale-High Park ,27394,False,False,False,False,16,539,,,8,251,,,254,7678,,,14,586,,,3,33,,,229,5545,,,9,43475,44950,41600,185787.5,194450,235162.5,327969,334554,347145,46745,False,27394.0,26690.0,24140.0,2560.0,1390.0,6075.0,11145.0,16155.0,15050.0,1120.0,6240.0,4785.0
LO,Locke,NL,3083 Yonge St,(416) 393-7730,M4N 2K7,M4N,103,Lawrence Park South,25,Don Valley West ,24344,False,False,False,False,42,1637,,,54,1201,,,241,7184,1,29,46,1870,,,36,764,6,142,239,6906,,,9,42075,40625,40425,169262.5,179275,179512.5,336679,347441,356462,68102,False,24344.0,24300.0,22890.0,1410.0,730.0,3630.0,5105.0,13515.0,12605.0,910.0,5580.0,1525.0
MAS,Maria A. Shchuka,DL ,1745 Eglinton Ave W,(416) 394-1000,M6E 2H4,M6E,107,Oakwood-Vaughan,15,Eglinton-Lawrence ,35495,True,False,False,False,300,5802,18,89,103,1913,21,644,182,5589,76,582,341,6374,15,122,76,1268,16,570,257,7176,97,1271,33,135937,128614.5,111378.5,205793,197357.5,208021,248394,232861,249361,96601,False,35495.0,35250.0,29225.0,6030.0,3125.0,15100.0,21725.0,19390.0,17785.0,1590.0,10605.0,6165.0
OV,Oakwood Village Library and Arts Centre,NL,341 Oakwood Ave,(416) 394-1040,M6E 2W1,M6E,107,Oakwood-Vaughan ,15,Eglinton-Lawrence ,22410,False,False,False,False,221,3047,,,89,1903,,,157,3118,1,2,211,3432,,,118,2962,,,124,2575,,,10,37862.5,36975,34600,72712.5,86450,84012.5,132719,132051,133008,36083,False,22410.0,22150.0,19120.0,3035.0,1515.0,7520.0,10530.0,13465.0,12440.0,1020.0,5685.0,3595.0
FV,Fairview,DL ,35 Fairview Mall Dr,(416) 395-5750,M2J 4S4,M2J,47,Don Valley Village,33,Don Valley East ,49363,True,False,False,False,265,6887,193,6626,350,6753,22,1702,231,6360,124,1260,140,5029,85,3458,194,3708,10,481,160,4548,55,1175,55,232296.5,167960.5,0,426072,191403.5,0,805825,697775,186152,219826,False,49363.0,48980.0,38000.0,10995.0,7830.0,32635.0,33785.0,25355.0,22645.0,2715.0,15725.0,11000.0
YW,York Woods,DL,1785 Finch Ave W,(416) 395-5980,M3N 1M6,M3N,25,Glenfield-Jane Heights ,8,York West ,56263,True,False,True,True,395,13217,36,391,158,3061,8,277,181,4539,114,1334,251,9259,87,731,137,4828,11,308,121,3387,81,812,46,193859.5,185228,176806,220491.5,225982.5,208388,246340,290231,306947,105126,False,56263.0,55430.0,44615.0,10810.0,6815.0,43120.0,34250.0,25245.0,21950.0,3310.0,18655.0,15370.0
JD,Jane Dundas,NL,620 Jane St,(416) 394-1014,M6S 4A6,M6S,89,Runnymede-Bloor West Village ,13,Parkdale-High Park ,22642,False,False,False,True,51,1385,,,31,445,12,396,336,7109,2,49,61,1307,,,32,582,12,315,300,7334,4,84,19,64375,71412.5,75575,150800,158937.5,168775,274077,285210,290200,55348,False,22642.0,22535.0,21080.0,1455.0,620.0,5895.0,10340.0,12210.0,11210.0,995.0,6520.0,3320.0
WE,Weston,NL,2 King St,(416) 394-1016,M9N 1K9,M9N,113,Weston ,11,York South-Weston ,18170,False,False,True,True,82,1396,25,89,41,1043,11,89,131,2683,,,70,2448,33,166,14,288,8,134,146,3022,1,15,10,46262.5,40362.5,37487.5,89225,94875,87500,135560,137135,148627,43909,False,18170.0,17910.0,15740.0,2160.0,1080.0,10380.0,8090.0,9590.0,8625.0,955.0,5140.0,4225.0
RD,Riverdale,NL,370 Broadview Ave,(416) 393-7720,M4K 2M8,M4K,68,North Riverdale ,30,Toronto-Danforth ,14942,False,False,False,False,69,1209,158,7092,9,358,,,113,3579,,,38,1238,127,6859,22,361,10,348,131,4116,,,18,73775,74887.5,73787.5,198712.5,203900,226400,281348,306181,304089,58419,False,14942.0,14665.0,13550.0,1115.0,430.0,4570.0,5350.0,8830.0,8280.0,550.0,3355.0,1935.0
AG,Agincourt ,DL ,155 Bonis Ave,(416) 396-8943,M1T 3W6,M1T,118,Tam O'Shanter-Sullivan ,40,Scarborough-Agincourt ,60424,True,False,False,False,91,2785,72,1664,185,4434,12,1156,273,6679,146,1443,47,1743,64,1450,180,3904,11,1362,242,6371,113,1574,38,158535.5,166022.5,180671.5,397421,424457,451500,843672,934448,1053430,152189,False,60424.0,59825.0,48985.0,10835.0,6695.0,46350.0,43195.0,28835.0,25740.0,3095.0,21565.0,14025.0
ST,Steeles,NL,"375 Bamburgh Circle, C107",(416) 396-8975,M1W 3Y1,M1W,116,Steeles ,39,Scarborough-Agincourt ,25532,False,False,False,False,55,945,,,59,1069,,,34,919,22,80,23,695,,,82,1692,,,30,1033,,,7,34800,27962.5,37837.5,161987.5,145800,160537.5,267333,225130,323144,44344,False,25532.0,25075.0,20275.0,4795.0,2745.0,22420.0,21270.0,12155.0,10775.0,1350.0,9890.0,4800.0
AH,Armour Heights,NL,2140 Avenue Rd ,(416) 395-5430,M5M 4M7,M5M,39,Bedford Park-Nortown ,16,Eglinton-Lawrence,16653,False,False,False,False,10,487,,,,,,,37,748,,,7,243,,,,,,,42,934,,,4,11012.5,11800,11250,67037.5,67675,68925,198247,192068,207404,27106,False,16653.0,16515.0,14940.0,1580.0,980.0,2785.0,5845.0,8560.0,8010.0,555.0,4830.0,1850.0
WS,Woodside Square,NL,1571 Sandhurst Cir,(416) 396-8979,M1V 1V2,M1V,129,Agincourt North,41,Scarborough-Rouge River ,27413,False,False,False,False,57,1785,8,49,76,2566,,,208,5329,7,208,72,2482,40,881,64,1745,,,177,4927,2,71,21,106962.5,104775,114087.5,405225,439962.5,471800,412778,457886,520729,56896,False,27413.0,27150.0,22630.0,4520.0,2625.0,24915.0,21910.0,13595.0,12020.0,1565.0,9695.0,5295.0
